Common gene name,No_drug,CHL_1ug/mL,CPR_4ng/mL,MEC_38ng/mL,NIT_2ug/mL,TET_150ng/mL,TMP_80ng/mL,FOX_1.90ug/mL,AMP_3.14ug/mL,PrtoSTOP
mglB,0.96,0.56,0.63,0.52,0.7,0.62,0.65,0.39,0.42,13.38
mglC,0.96,0.46,0.5,0.5,0.66,0.61,0.6,0.31,0.32,13.05
mgsA,0.93,0.55,0.66,0.5,0.68,0.63,0.64,0.22,0.45,5.69
mgtA,1,0.7,0.69,0.69,0.71,0.71,0.68,0.25,0.78,38.02
mhpA,0.89,0.58,0.65,0.55,0.64,0.68,0.66,0.53,0.53,22.83
mhpB,0.97,0.65,0.71,0.85,0.71,0.7,0.6,0.81,0.44,12.64
mhpC,0.89,0.58,0.66,0.81,0.69,0.68,0.63,0.44,0.48,11.6
mhpD,0.92,0.56,0.65,0.88,0.68,0.69,0.6,0.48,0.46,10.32
mhpE,0.9,0.54,0.64,0.63,0.68,0.65,0.65,0.76,0.53,13.32
mhpF,0.95,0.57,0.69,0.62,0.69,0.65,0.67,0.61,0.49,11.18
mhpR,0.9,0.65,0.74,0.78,0.73,0.68,0.7,0.7,0.64,15.12
mhpT,1,0.6,0.74,0.65,0.68,0.73,0.59,0.51,0.75,15.27
miaA,0.83,0.5,0.72,0.42,0.61,0.62,0.57,0.57,0.58,14.5
miaB,0.91,0.53,0.51,0.77,0.67,0.57,0.66,0.28,0.18,21.29
minC,0.96,0.71,0.17,0.31,0.37,0.6,0.56,0.36,0.83,9.58
mioC,1.01,0.55,0.58,0.25,0.7,0.68,0.67,0.35,0.21,7.16
mipA,0.88,0.46,0.39,0.35,0.58,0.54,0.65,0.41,0.27,14.34
mlrA,0.96,0.54,0.63,0.53,0.71,0.62,0.63,0.34,0.48,12.57
mltA,0.86,0.6,0.64,0.53,0.61,0.65,0.61,0.39,0.46,16.75
mltB,0.86,0.57,0.73,0.81,0.66,0.62,0.65,0.68,0.72,17.43
mltC,0.99,0.56,0.68,0.47,0.71,0.63,0.59,0.35,0.44,16.55
mltD,0.99,0.66,0.75,0.86,0.74,0.74,0.64,0.73,0.57,20.89
mmuM,0.94,0.65,0.69,0.76,0.69,0.69,0.66,0.64,0.42,14.63
mmuP,0.92,0.59,0.68,0.68,0.69,0.69,0.62,0,0.47,19.29
mngA,0.91,0.51,0.66,0.5,0.68,0.61,0.64,0.16,0.46,27.2
mngB,0.84,0.55,0.5,0.76,0.62,0.61,0.62,0.38,0.36,42.36
mngR,1,0.66,0.69,0.72,0.7,0.7,0.63,0.58,0.38,12.51
mntH,0.97,0.56,0.66,0.69,0.7,0.67,0.66,0.55,0.48,15.91
mntR,0.87,0.43,0.46,0.34,0.65,0.53,0.61,0.39,0.39,6.75
moaA,0.87,0.57,0.76,0.9,0.71,0.65,0.67,0.54,0.7,14.49
moaB,0.85,0.54,0.47,0.62,0.63,0.59,0.61,0.35,0.24,6.96
moaC,0.94,0.64,0.66,0.76,0.69,0.69,0.64,0.51,0.46,6.19
moaD,0.98,0.62,0.59,0.65,0.71,0.64,0.69,0.43,0.46,2.78
moaE,0.92,0.64,0.42,0.7,0.62,0.63,0.56,0.34,0.33,7.17
mobA,0.84,0.59,0.61,0.76,0.69,0.65,0.66,0.49,0.41,8.08
mobB,0.99,0.53,0.65,0.61,0.7,0.67,0.65,0.31,0.56,7.08
modA,0.96,0.63,0.64,0.55,0.72,0.68,0.63,0.5,0.4,11.23
modB,0.99,0.65,0.72,0.6,0.71,0.75,0.66,0.56,0.39,9.15
modC,1.03,0.66,0.71,0.51,0.73,0.73,0.7,0.61,0.42,16.44
modE,0.95,0.53,0.55,0.51,0.64,0.62,0.61,0.35,0.42,11.76
modF,0.88,0.53,0.56,0.55,0.64,0.61,0.58,0.31,0.49,23.14
moeA,0.88,0.61,0.66,0.76,0.65,0.64,0.65,0.61,0.73,16.65
moeB,0.96,0.59,0.56,0.76,0.66,0.65,0.66,0.31,0.6,10.3
mog,0.95,0.65,0.69,0.8,0.69,0.7,0.63,0.5,0.46,8.39
molR,0.92,0.55,0.69,0.61,0.665,0.645,0.635,0.495,0.635,0
motA,0.78,0.6,0.71,0.83,0.67,0.64,0.6,0,0.83,12.64
motB,0.9,0.63,0.62,0.94,0.7,0.66,0.58,0.3,0.51,12.8
mpaA,0.83,0.58,0.58,0.83,0.71,0.66,0.6,0.44,0.4,10.79
mpl,0.86,0.54,0.68,0.48,0.63,0.59,0.59,0.75,0.75,18.83
mppA,0.91,0.49,0.57,0.42,0.64,0.59,0.59,0.1,0.3,26.41
mprA,0.97,0.76,0.66,0.94,0.75,0.75,0.71,0.71,0.85,9.27
mqo,0.86,0.6,0.69,0.77,0.65,0.64,0.66,0.66,0.8,25.48
mraW,0.77,0.54,0.67,0.68,0.59,0.59,0.55,0.56,0.51,0
mraZ,0.88,0.59,0.68,0.9,0.7,0.62,0.68,0.23,0.29,7.73
mrcA,0.88,0.54,0.54,0.62,0.63,0.62,0.68,0.44,0.45,39.35
mrcB,0.88,0.54,0.49,0.6,0.55,0.64,0.63,0.09,0.03,40.02
mrp,0.96,0.59,0.64,0.9,0.66,0.71,0.64,0.57,0.8,15.32
mrr,0.98,0.7,0.64,0.74,0.71,0.72,0.67,0.52,0.5,13.42
mscL,0.91,0.48,0.6,0.57,0.67,0.57,0.64,0.32,0.52,4.24
mscS,0.85,0.6,0.42,0.43,0.59,0.61,0.64,0.31,0.23,9.8
msrA,0.87,0.56,0.63,0.57,0.65,0.68,0.62,0.37,0.57,9.61
msyB,0.93,0.54,0.72,0.72,0.63,0.66,0.62,0.34,0.53,11.14
mtgA,0.93,0.58,0.69,0.7,0.65,0.61,0.59,0.37,0.62,11.11
mtlA,0.97,0.67,0.67,0.69,0.72,0.73,0.63,0.62,0.54,23.69
mtlD,0.93,0.49,0.66,0.67,0.68,0.65,0.62,0.42,0.44,14.73
mtlR,0.93,0.55,0.6,0.64,0.66,0.67,0.59,0.61,0.38,9.25
mtr,1.03,0.66,0.71,0.86,0.71,0.73,0.64,0.42,0.41,16.46
murP,0.88,0.63,0.73,0.87,0.7,0.67,0.67,0.8,0.8,17.32
mutH,0.89,0.62,0.65,0.67,0.64,0.69,0.61,0.35,0.43,11.58
mutL,0.86,0.56,0.67,0.62,0.59,0.6,0.67,0.35,0.63,26.68
mutM,0.99,0.56,0.67,0.62,0.7,0.65,0.63,0.48,0.65,13.79
mutS,0.93,0.56,0.7,0.49,0.65,0.68,0.57,0.42,0.83,39.61
mutT,0.93,0.56,0.67,0.68,0.63,0.58,0.64,0.34,0.44,6.35
mutY,0.87,0.56,0.71,0.63,0.65,0.67,0.63,0.34,0.36,17.97
mviM,0.97,0.49,0.67,0.51,0.67,0.63,0.65,0.37,0.4,0
nac,0.86,0.48,0.55,0.48,0.65,0.55,0.63,0.42,0.55,12.84
nadA,0.62,0.48,0.64,0.62,0.52,0.58,0.64,0.25,0.46,15.57
nadB,0.95,0.65,0.59,0.74,0.57,0.68,0.61,0.29,0.3,23.04
nadC,0.9,0.68,0.58,0.65,0.56,0.7,0.67,0.44,0.34,12.24
nadR,0.94,0.65,0.77,0.82,0.71,0.76,0.56,0.71,0.65,21
nagA,0.9,0.46,0.73,0.72,0.73,0.67,0.68,0.14,0.34,15.32
nagB,0.99,0.65,0.69,0.72,0.74,0.73,0.62,0.69,0.76,11.15
nagC,0.95,0.69,0.84,0.86,0.75,0.72,0.59,0.81,0.82,17.1
nagD,0.89,0.55,0.66,0.59,0.67,0.67,0.65,0.37,0.57,9.48
nagE,0.98,0.54,0.68,0.53,0.69,0.63,0.66,0.24,0.52,22.08
nagZ,0.89,0.48,0.48,0.56,0.64,0.59,0.6,0,0.12,13.98
nanA,0.88,0.65,0.47,0.52,0.65,0.68,0.64,0.35,0.37,14.53
nanE,0.93,0.5,0.65,0.67,0.64,0.66,0.64,0.54,0.56,8.74
nanK,0.98,0.6,0.73,0.92,0.7,0.73,0.65,0.47,0.71,11.12
nanR,0.86,0.61,0.7,0.7,0.68,0.62,0.67,0.68,0.78,10.06
nanT,0.89,0.62,0.59,0.52,0.66,0.7,0.7,0.32,0.57,20.69
napA,0.98,0.57,0.64,0.56,0.7,0.64,0.61,0.38,0.43,40.1
napB,0.96,0.59,0.69,0.52,0.7,0.7,0.64,0.21,0.61,6.83
napC,0.92,0.56,0.69,0.48,0.68,0.6,0.64,0.35,0.44,9.81
napD,0.9,0.57,0.65,0.68,0.67,0.68,0.66,0.52,0.66,4.26
napF,0.9,0.52,0.68,0.53,0.67,0.63,0.6,0.47,0.37,8.17
napG,0.88,0.48,0.66,0.53,0.64,0.56,0.64,0.55,0.67,10.52
napH,0.91,0.51,0.58,0.52,0.68,0.57,0.63,0.3,0.29,13.07
narG,0.91,0.43,0.58,0.39,0.67,0.59,0.61,0.11,0.37,63.71
narH,0.96,0.47,0.56,0.45,0.67,0.56,0.64,0.11,0.25,26.25
narI,0.82,0.56,0.44,0.29,0.45,0.67,0.62,0.28,0.15,10.77
narJ,0.78,0.59,0.39,0.36,0.57,0.63,0.63,0.42,0.25,11.02
narK,0.92,0.45,0.43,0.61,0.66,0.61,0.63,0.28,0.22,17.66
narL,0.82,0.58,0.65,0.76,0.69,0.66,0.65,0.51,0.69,8.82
narP,0.88,0.59,0.68,0.75,0.66,0.65,0.65,0.57,0.65,8.02
narQ,0.9,0.54,0.68,0.84,0.61,0.62,0.65,0.78,0.76,26.91
narU,0.96,0.67,0.81,0.92,0.73,0.72,0.65,0.93,0.89,16.8
narV,0.91,0.55,0.69,0.55,0.69,0.62,0.66,0.41,0.48,10.78
narW,0.92,0.64,0.62,0.6,0.6,0.71,0.65,0.35,0.42,12.27
narX,0.88,0.61,0.58,0.83,0.72,0.67,0.65,0.5,0.44,28.09
narY,0.97,0.52,0.67,0.45,0.65,0.6,0.62,0.17,0.38,26.26
narZ,0.95,0.56,0.69,0.49,0.69,0.61,0.65,0.42,0.42,62.52
ndh,0.89,0.43,0.6,0.77,0.61,0.64,0.63,0.27,0.21,18.3
ndk,0.77,0.62,0.69,0.68,0.64,0.66,0.53,0.52,0.45,5.14
nei,0.94,0.55,0.64,0.52,0.69,0.62,0.67,0.32,0.43,12.71
nemA,0.94,0.56,0.63,0.48,0.65,0.64,0.61,0.35,0.46,16.15
nfi,0.92,0.66,0.74,0.83,0.72,0.73,0.66,0,0.83,9.94
nfnB,0.93,0.54,0.63,0.51,0.75,0.62,0.66,0.46,0.4,0
nfo,0.93,0.5,0.45,0.63,0.66,0.62,0.66,0.35,0,12.03
nfrA,0.88,0.4,0.42,0.43,0.65,0.52,0.63,0.03,0.33,50.65
nfrB,1,0.69,0.77,0.9,0.7,0.79,0.67,0.64,0.8,35.19
nfsA,0.85,0.46,0.52,0.58,0.73,0.47,0.59,0.33,0.32,11.26
nhaA,0.89,0.55,0.47,0.66,0.64,0.64,0.65,0.29,0.46,14.19
nhaB,0.88,0.51,0.66,0.71,0.7,0.62,0.65,0.62,0.62,21.73
nhaR,0.89,0.53,0.61,0.63,0.65,0.63,0.69,0.46,0.46,14.55
nhoA,0.95,0.66,0.74,0.88,0.69,0.69,0.66,0.96,0.96,12.54
nikA,0.91,0.53,0.67,0.82,0.66,0.64,0.63,0.58,0.63,24.03
nikB,1,0.66,0.76,0.88,0.73,0.79,0.61,0.8,0.76,11.68
nikC,0.92,0.6,0.68,0.78,0.69,0.69,0.63,0.58,0.75,10
nikD,0.93,0.55,0.73,0.49,0.69,0.61,0.64,0.38,0.7,9.2
nikE,0.86,0.62,0.38,0.25,0.51,0.64,0.62,0.14,0.18,11.79
nikR,0.96,0.57,0.65,0.39,0.63,0.72,0.63,0.62,0.76,5.49
ninE,0.88,0.41,0.39,0.37,0.62,0.51,0.66,0.29,0,2.62
nirB,0.96,0.63,0.63,0.62,0.66,0.72,0.59,0.53,0.51,38.87
nirC,1.02,0.63,0.66,0.71,0.71,0.71,0.65,0.39,0.55,11.13
nirD,0.95,0.61,0.78,0.83,0.73,0.71,0.59,0.62,0.54,5.06
nlpA,0.95,0.53,0.66,0.65,0.68,0.66,0.64,0.43,0.44,11.86
nlpB,0.83,0.53,0.57,0.88,0.64,0.59,0.63,0.49,0.54,0
nlpC,1,0.64,0.83,0.98,0.67,0.67,0.6,0.41,0.86,6.87
nlpD,0.92,0.64,0.62,0.66,0.7,0.65,0.69,0.52,0.5,17.18
nlpE,0.88,0.63,0.7,0.83,0.7,0.67,0.66,0.82,0.69,11.4
nlpI,0.86,0.39,0.51,0.8,0.41,0.51,0.6,0.53,0.25,15.9
nmpC,0.92,0.53,0.69,0.49,0.68,0.6,0.6,0.24,0.42,18.03
nohA,1.02,0.76,0.7,0.88,0.71,0.75,0.67,0.85,0.83,9.04
nohB,0.88,0.55,0.57,0.51,0.59,0.69,0.64,0.22,0.29,0
norR,0.97,0.55,0.73,0.51,0.7,0.65,0.6,0.28,0.16,19.72
norV,0.85,0.59,0.71,0.78,0.66,0.58,0.65,0.78,0.86,21.44
norW,0.88,0.64,0.76,0.86,0.69,0.63,0.67,0.76,0.66,15.91
npr,0.94,0.55,0.68,0.58,0.68,0.7,0.63,0.31,0.68,3.58
nrdD,1,0.62,0.71,0.68,0.7,0.74,0.66,0.73,0.79,34.17
nrdE,0.9,0.42,0.58,0.52,0.64,0.6,0.66,0.34,0.45,33.98
nrdF,0.99,0.58,0.63,0.6,0.74,0.65,0.66,0.39,0.5,16.57
nrdG,0.93,0.54,0.62,0.51,0.65,0.63,0.62,0.41,0.62,7.03
nrdH,0.94,0.58,0.7,0.66,0.71,0.58,0.67,0.52,0.76,2.62
nrdI,0.84,0.53,0.69,0.75,0.66,0.62,0.64,0.72,0.81,6.08
nrfA,0.96,0.53,0.67,0.66,0.7,0.65,0.61,0.33,0.42,22.58
nrfB,0.9,0.53,0.68,0.83,0.68,0.62,0.62,0.36,0.6,8.26
nrfC,1.04,0.68,0.73,0.68,0.71,0.73,0.62,0.6,0.52,10.56
nrfD,0.91,0.6,0.7,0.71,0.67,0.67,0.59,0.63,0.79,13.44
nrfE,0.88,0.64,0.59,0.57,0.68,0.7,0.6,0.54,0.67,26.87
nrfF,0.97,0.67,0.81,0.9,0.73,0.78,0.67,0.76,0.8,6.51
nrfG,0.91,0.54,0.7,0.56,0.69,0.63,0.59,0.47,0.5,10.9
nth,0.89,0.59,0.63,0.47,0.6,0.7,0.65,0.35,0.26,9.81
nudB,0.75,0.59,0.63,0.19,0.6,0.7,0.28,0.53,0.5,7.38
nudC,0.95,0.67,0.63,0.81,0.7,0.72,0.61,0.47,0.5,13.72
nudD,0.93,0.48,0.65,0.48,0.66,0.62,0.64,0.49,0.43,0
nudE,0.92,0.51,0.4,0.57,0.66,0.53,0.64,0.18,0.25,8.4
nudF,0.87,0.45,0.52,0.51,0.63,0.57,0.61,0.42,0.32,9.2
nudG,0.92,0.56,0.7,0.49,0.7,0.64,0.66,0.4,0.59,6.04
nudH,0.9,0.59,0.69,0.69,0.67,0.62,0.66,0.31,0.39,0
nuoA,0.9,0.49,0.53,0.52,0.63,0.59,0.68,0.26,0.39,5.91
nuoB,0.88,0.53,0.18,0.32,0.4,0.58,0.69,0.26,0.05,10.44
nuoC,0.99,0.55,0.53,0.5,0.68,0.65,0.66,0.18,0.62,26.95
nuoE,0.78,0.57,0.61,0.77,0.69,0.64,0.63,0.38,0.55,7.48
nuoF,0.87,0.51,0.28,0.32,0.42,0.57,0.69,0.31,0.1,21.6
nuoG,0.88,0.48,0.56,0.75,0.6,0.6,0.68,0.19,0.39,39.67
nuoH,0.85,0.46,0.5,0.49,0.59,0.55,0.65,0.29,0.54,13.09
nuoI,0.77,0.34,0.41,0.53,0.63,0.48,0.6,0.25,0.21,9.66
nuoJ,0.78,0.5,0.54,0.74,0.68,0.66,0.63,0.31,0.44,7.19
nuoK,0.86,0.46,0.48,0.47,0.63,0.51,0.66,0.19,0.36,3.73
nuoL,0.86,0.53,0.58,0.68,0.67,0.59,0.66,0.47,0.62,24.79
nuoM,0.75,0.43,0.38,0.7,0.64,0.55,0.63,0.2,0.31,22.43
nuoN,0.86,0.45,0.62,0.82,0.69,0.55,0.67,0.28,0.59,20.1
nupC,0.94,0.55,0.61,0.52,0.69,0.63,0.59,0.28,0.66,15.12
nupG,0.91,0.53,0.66,0.42,0.68,0.6,0.63,0.27,0.37,17.06
nusB,0.6,0.46,0.66,0.73,0.61,0.49,0.53,0.46,0.12,7.02
ogrK,0.92,0.63,0.61,0.68,0.67,0.71,0.64,0.61,0.69,3.73
ogt,0.89,0.61,0.65,0.75,0.72,0.66,0.58,0.42,0.43,8.94
ompA,0.92,0.61,0.64,0.07,0.53,0.68,0.7,0.35,0.54,15.53
ompC,0.96,0.61,0.23,0.23,0.63,0.64,0.55,0.11,0.23,18.75
ompF,0.75,0.56,0.89,0.93,0.64,0.76,0.62,0.94,0.87,16.93
ompG,0.98,0.55,0.68,0.73,0.69,0.65,0.58,0.36,0.3,16.44
ompL,0.89,0.58,0.54,0.71,0.61,0.64,0.63,0.3,0.38,12.46
ompN,0.84,0.62,0.69,0.81,0.61,0.68,0.58,0.28,0.53,17.82
ompR,0.85,0.67,0.59,0.68,0.78,0.71,0.68,0.68,0.68,10.22
ompT,0.87,0.56,0.44,0.71,0.51,0.61,0.5,0.43,0.57,17.23
ompW,0.99,0.58,0.61,0.6,0.69,0.64,0.63,0.42,0.38,9.14
ompX,1.02,0.65,0.71,0.42,0.73,0.71,0.67,0.32,0.41,9.41
oppA,0.87,0.59,0.66,0.79,0.68,0.6,0.65,0.57,0.64,27.63
oppB,0.86,0.55,0.44,0.63,0.61,0.59,0.53,0.15,0.33,11.45
oppC,0.94,0.52,0.6,0.47,0.67,0.58,0.62,0.54,0.6,11.36
oppD,0.97,0.57,0.72,0.87,0.7,0.69,0.65,0.48,0.46,13.45
oppF,0.88,0.5,0.57,0.4,0.64,0.57,0.61,0.37,0.77,14.84
osmB,0.98,0.6,0.8,0.92,0.68,0.69,0.59,0.37,0.64,2.55
osmC,0.76,0.69,0.64,0.65,0.41,0.72,0.56,0.3,0.29,6.3
osmE,0.85,0.59,0.74,0.79,0.67,0.62,0.65,0.8,0.78,5.15
osmY,0.97,0.64,0.76,0.87,0.74,0.76,0.67,0.82,0.66,8.42
otsA,0.99,0.66,0.78,0.9,0.73,0.74,0.69,1.01,0.99,22.54
otsB,0.88,0.54,0.47,0.59,0.59,0.55,0.64,0.21,0.44,11.45
oxc,0.92,0.55,0.63,0.71,0.7,0.58,0.67,0.46,0.75,21.75
oxyR,0,0,0,0,0,0,0,0,0,13.48
paaA,0.95,0.56,0.65,0.72,0.68,0.62,0.65,0.31,0.41,15.56
paaB,0.88,0.46,0.54,0.6,0.63,0.55,0.6,0.19,0.35,4.7
paaC,0.93,0.57,0.63,0.77,0.71,0.58,0.67,0.46,0.73,12.08
paaD,0.94,0.54,0.75,0.77,0.66,0.68,0.6,0.47,0.59,7.48
paaE,0.95,0.65,0.66,0.77,0.68,0.67,0.67,0.35,0.4,16.59
paaF,0.88,0.6,0.65,0.74,0.68,0.61,0.67,0.48,0.69,10.67
paaG,0.89,0.58,0.64,0.71,0.69,0.61,0.64,0.46,0.85,10.74
paaH,0.9,0.55,0.64,0.63,0.66,0.64,0.64,0.37,0.66,21.3
paaI,0.92,0.52,0.58,0.58,0.65,0.59,0.65,0.22,0.37,5.72
paaJ,0.96,0.59,0.58,0.66,0.71,0.58,0.66,0.31,0.41,13.8
paaK,0.94,0.5,0.63,0.59,0.67,0.61,0.61,0.3,0.43,19.64
paaX,0.88,0.46,0.5,0.53,0.66,0.54,0.64,0.22,0.28,15.54
paaY,0.88,0.63,0.81,0.93,0.73,0.67,0.66,0.88,0.91,7.68
pabA,0.9,0.55,0.66,0.51,0.71,0.59,0.65,0.32,0.4,8.06
pabB,0.88,0.62,0.67,0.59,0.69,0.65,0.64,0.3,0.48,21.12
pabC,0.96,0.52,0.8,0.7,0.68,0.64,0.68,0.43,0.53,12.57
pal,0.95,0.7,0.72,0,0.71,0.72,0.6,0.5,0.11,7.72
panB,0.89,0.63,0.69,0.84,0.7,0.65,0.67,0.72,0.74,10.64
panC,0.75,0.64,0.68,0.69,0.7,0.66,0.65,0.65,0.62,11.39
panD,1.06,0.68,0.7,0.67,0.72,0.77,0.68,0.71,0.81,4.72
panE,1.02,0.7,0.64,0.8,0.7,0.71,0.61,0.56,0.79,13.48
panF,0.98,0.61,0.62,0.61,0.69,0.65,0.65,0.34,0.51,19.11
parC,0.76,0.63,0.6,0.79,0.46,0.71,0.46,0.09,0.23,32.84
pbl,0.97,0.49,0.56,0.52,0.68,0.57,0.64,0.14,0.31,7.66
pbpC,0.93,0.52,0.67,0.47,0.7,0.59,0.65,0.04,0.32,34.29
pbpG,0.95,0.58,0.78,0.19,0.72,0.7,0.68,0.57,0.37,12.46
pck,0.94,0.65,0.65,0.79,0.68,0.72,0.67,0.58,0.75,0
pcm,0.94,0.49,0.64,0.48,0.66,0.63,0.68,0,0.33,9.44
pcnB,0.98,0.62,0.7,0.79,0.61,0.75,0.67,0.86,0.44,21.96
pdhR,0.91,0.63,0.61,0.59,0.71,0.65,0.65,0.47,0.5,12.93
pdxA,0.9,0.64,0.69,0.84,0.71,0.67,0.67,0.69,0.63,12.45
pdxB,0.81,0.57,0.57,0.76,0.7,0.62,0.63,0.23,0.38,15.66
pdxH,1.01,0.69,0.74,0.81,0.74,0.75,0.54,0.58,0.54,11.48
pdxJ,0.73,0.63,0.62,0.49,0.44,0.65,0.63,0.09,0.14,8.97
pdxK,0.84,0.62,0.42,0.74,0.54,0.61,0.65,0.67,0.6,12.49
pdxY,0.92,0.62,0.6,0.86,0.71,0.65,0.58,0.35,0.34,12.16
pepA,0.86,0.58,0.28,0.15,0.4,0.57,0.65,0.22,0.17,23.01
pepB,0.91,0.59,0.63,0.79,0.71,0.64,0.61,0.53,0.79,19.18
pepD,0.84,0.55,0.56,0.66,0.65,0.62,0.56,0.43,0.39,20.66
pepE,0.9,0.53,0.53,0.58,0.67,0.59,0.66,0.33,0.4,9.3
pepN,0.89,0.6,0.48,0.28,0.65,0.64,0.37,0,0.27,39.93
pepP,0.94,0.61,0.76,0.99,0.79,0.71,0.54,0.48,0.48,20.45
pepQ,0.98,0.64,0.63,0.77,0.7,0.67,0.63,0.56,0.77,20.21
pepT,0.9,0.53,0.76,0.76,0.54,0.72,0.52,0.75,0.69,17.31
perR,0.87,0.56,0.66,0.5,0.7,0.57,0.68,0.41,0.48,14.44
pfkA,0.74,0.46,0.51,0.59,0.54,0.61,0.51,0.36,0.41,12.96
pfkB,0.98,0.66,0.8,0.93,0.73,0.76,0.66,0.85,0.9,13.1
pflA,0.96,0.74,0.72,0.76,0.66,0.77,0.67,0.42,0.59,12.57
pflB,0.89,0.61,0.71,0.75,0.65,0.65,0.64,0.67,0.78,35.59
pflC,0.91,0.57,0.45,0.72,0.58,0.6,0.64,0.39,0.18,12.45
pflD,0.82,0.59,0.55,0.72,0.6,0.68,0.6,0.47,0.42,36.53
pfs,0.6,0.51,0.52,0.55,0.47,0.58,0.47,0.31,0.14,0
pgi,0.85,0.55,0.57,0.8,0.66,0.69,0.5,0.27,0.24,24.28
pgm,0.89,0.66,0.38,0.91,0.62,0.79,0.63,0.89,0.93,21.52
pgpA,0.4,0.36,0.42,0.11,0.31,0.49,0.12,0.36,0.19,7.17
pgpB,0.83,0.52,0.42,0.27,0.68,0.6,0.37,0,0.35,12.95
pheA,0.9,0.58,0.64,0.68,0.67,0.57,0.64,0.52,0.7,18.04
pheL,0.97,0.57,0.61,0.59,0.7,0.65,0.69,0.24,0.47,0.17
pheM,0.97,0.52,0.7,0.6,0.72,0.62,0.64,0.32,0.6,0.38
pheP,1.04,0.57,0.7,0.56,0.7,0.64,0.68,0.49,0.45,19.17
phnA,0.95,0.67,0.64,0.94,0.7,0.7,0.64,0.46,0.47,0
phnB,0.92,0.65,0.67,0.82,0.66,0.71,0.64,0.83,0.85,0
phnC,1.04,0.72,0.78,0.73,0.74,0.73,0.7,0.63,0.83,11.2
phnD,1.06,0.76,0.86,0.78,0.83,0.8,0.67,0.82,1.05,15.25
phnE,0.98,0.59,0.68,0.755,0.71,0.68,0.635,0.58,0.63,10.85
phnF,0.91,0.6,0.56,0.6,0.71,0.63,0.69,0.38,0.5,11.38
phnG,0.8,0.52,0.56,0.47,0.63,0.67,0.64,0.45,0.48,5.76
phnH,0.91,0.59,0.71,0.8,0.69,0.66,0.64,0.82,0.78,7.65
phnI,0.95,0.61,0.67,0.65,0.72,0.73,0.64,0.51,0.51,15.87
phnJ,0.91,0.57,0.57,0.54,0.67,0.66,0.61,0.45,0.37,12.32
phnK,0.89,0.55,0.67,0.85,0.76,0.7,0.65,0.47,0.58,10.99
phnL,0.94,0.56,0.62,0.71,0.62,0.65,0.56,0.41,0.46,8.91
phnM,0.95,0.61,0.74,0.94,0.71,0.7,0.6,0.61,0.82,15.65
phnN,0.78,0.58,0.36,0.34,0.48,0.65,0.61,0.32,0.25,9.18
phnO,0.94,0.61,0.79,0.85,0.73,0.69,0.67,0.95,0.94,6.57
phnP,0.94,0.48,0.42,0.31,0.63,0.57,0.56,0.22,0.34,10.35
phoA,0.91,0.61,0.62,0.65,0.64,0.71,0.5,0.41,0.55,20.45
phoB,0.92,0.62,0.59,0.63,0.71,0.64,0.62,0.48,0.46,9.84
phoE,0.92,0.56,0.59,0.57,0.67,0.61,0.6,0.33,0.31,17.33
phoH,0.91,0.49,0.61,0.35,0.64,0.59,0.66,0.21,0.35,13.62
phoP,0.79,0.36,0.25,0.55,0.66,0.46,0.46,0.08,0.24,10.11
phoQ,0.9,0.38,0.4,0.45,0.59,0.61,0.48,0.17,0.2,23.85
phoR,0.87,0.51,0.48,0.47,0.63,0.59,0.6,0.48,0.24,20.9
phoU,0.81,0.54,0.7,0.77,0.73,0.66,0.58,0.69,0.65,10.39
php,0.91,0.49,0.61,0.5,0.66,0.59,0.61,0.35,0.35,12.54
phr,0.87,0.57,0.55,0.58,0.72,0.62,0.62,0.34,0.47,0
pin,0.82,0.52,0.6,0.6,0.66,0.65,0.62,0.11,0.48,0
pinH,0.96,0.5,0.68,0.61,0.71,0.63,0.65,0.46,0.44,2.66
pinQ,0.92,0.47,0.5,0.33,0.65,0.58,0.62,0.13,0.35,8.77
pinR,0.95,0.51,0.7,0.59,0.74,0.6,0.63,0.51,0.38,8.7
pioO,1.01,0.6,0.76,0.98,0.71,0.71,0.56,0.52,0.89,0
pitA,0.92,0.59,0.73,0.89,0.66,0.62,0.7,0.42,0.82,19.8
pitB,0.93,0.56,0.62,0.62,0.66,0.66,0.63,0.4,0.52,19.6
pldA,0.96,0.66,0.69,0.68,0.7,0.77,0.63,0.55,0.39,16.55
pldB,0.98,0.64,0.72,0.79,0.68,0.76,0.63,0.58,0.44,13.44
plsX,0.85,0.64,0.37,0.62,0.38,0.71,0.47,0.33,0.15,15.34
pmbA,0.97,0.66,0.71,0.64,0.72,0.71,0.66,0.66,0.68,20.44
pmrD,0.92,0.55,0.7,0.63,0.69,0.63,0.63,0.27,0.53,5.01
pncA,0.86,0.64,0.76,0.88,0.69,0.67,0.64,0.82,0.94,9.33
pncB,0.89,0.51,0.49,0.67,0.67,0.61,0.64,0.31,0.36,18.82
pnp,0,0,0,0,0,0,0,0.1,0.03,28.24
pntA,0.92,0.48,0.41,0.54,0.64,0.58,0.63,0.32,0.25,20.38
pntB,0.91,0.57,0.75,0.68,0.66,0.7,0.66,0.49,0.61,15.35
pnuC,0.92,0.52,0.72,0.51,0.69,0.62,0.68,0.19,0.47,10.53
polA,0.96,0.7,0.48,0.37,0.65,0.67,0.67,0.38,0.47,43.59
polB,0.91,0.53,0.57,0.69,0.66,0.64,0.59,0.51,0.54,39.03
